W_age,children,W_education,H_education,W_religion,W_working,H_occupation,Standard-of-living,Media-exposure,clusterid 
37.0,11.0,3,3,1,1,1,2,0,0 
30.0,4.0,3,3,1,0,3,2,0,0 
35.0,6.0,2,3,1,0,3,2,0,0 
34.0,3.0,2,3,0,1,3,2,1,0 
33.0,4.0,3,3,1,0,2,2,0,0 
42.0,1.0,3,2,1,1,3,3,0,0 
34.0,8.0,3,2,1,0,2,3,1,0 
31.0,8.0,2,2,1,1,2,2,1,0 
41.0,11.0,3,2,1,1,2,3,0,0 
35.0,6.0,2,2,1,0,2,2,1,0 
36.0,7.0,2,2,1,0,2,2,1,0 
21.0,1.0,3,3,1,0,3,2,0,0 
40.0,1.0,3,3,1,0,3,3,0,0 
37.0,2.0,2,3,0,0,3,3,0,0 
20.0,2.0,2,2,1,1,3,2,1,0 
17.0,0.0,2,2,1,0,3,2,0,0 
25.0,1.0,3,2,1,0,3,3,0,0 
21.0,1.0,3,3,0,1,3,2,0,0 
32.0,4.0,3,2,1,1,2,2,1,0 
35.0,2.0,3,3,1,0,2,2,0,0 
23.0,2.0,3,2,1,0,3,2,0,0 
27.0,1.0,2,2,1,0,3,2,1,0 
47.0,0.0,2,3,1,0,1,3,0,0 
45.0,5.0,3,3,0,1,1,3,0,0 
36.0,0.0,2,2,0,0,3,3,0,0 
36.0,5.0,3,3,1,0,1,3,0,0 
36.0,3.0,3,3,0,0,2,3,1,0 
38.0,4.0,3,3,0,0,3,2,1,0 
46.0,11.0,3,2,1,0,2,2,1,0 
45.0,10.0,1,3,1,1,3,4,0,1 
43.0,8.0,1,2,1,1,2,4,0,1 
48.0,4.0,1,3,1,1,3,4,1,1 
44.0,7.0,1,2,1,1,3,4,0,1 
47.0,2.0,1,2,1,1,2,4,0,1 
29.0,7.0,1,2,1,1,2,4,0,1 
44.0,2.0,1,2,1,1,2,4,0,1 
37.0,0.0,1,3,1,1,3,4,0,1 
49.0,6.0,1,3,1,1,2,4,0,1 
30.0,4.0,1,3,1,1,3,4,0,1 
46.0,9.0,1,2,1,0,3,4,1,1 
30.0,1.0,1,3,1,1,3,4,0,1 
42.0,12.0,1,3,1,1,2,4,0,1 
34.0,4.0,1,3,1,0,3,4,0,1 
41.0,3.0,1,3,1,0,2,4,0,1 
47.0,2.0,1,2,1,1,2,4,0,1 
43.0,4.0,1,3,1,1,1,4,0,1 
34.0,5.0,1,2,1,1,3,4,0,1 
28.0,5.0,1,3,1,1,3,4,0,1 
30.0,2.0,1,3,1,1,3,4,0,1 
38.0,1.0,1,2,1,1,2,4,1,1 
22.0,0.0,1,2,1,1,2,4,0,1 
35.0,0.0,1,2,1,0,4,4,0,1 
43.0,1.0,1,2,1,1,3,4,1,1 
35.0,4.0,1,2,1,0,4,4,0,1 
39.0,2.0,1,2,1,0,2,4,0,1 
22.0,2.0,1,2,1,1,3,4,0,1 
27.0,4.0,1,2,1,1,1,4,1,1 
21.0,1.0,1,2,1,0,3,4,0,1 
21.0,0.0,1,3,1,0,3,4,1,1 
43.0,7.0,2,3,1,1,3,4,0,2 
27.0,3.0,2,3,1,1,3,4,0,2 
39.0,6.0,2,2,1,1,2,4,0,2 
42.0,3.0,2,2,1,1,3,4,0,2 
21.0,0.0,2,3,1,1,3,4,0,2 
48.0,8.0,2,3,1,1,1,4,0,2 
22.0,2.0,3,3,1,1,3,4,0,2 
33.0,1.0,2,3,1,1,3,4,0,2 
40.0,1.0,3,3,0,1,3,4,0,2 
37.0,2.0,3,3,1,1,1,4,0,2 
27.0,1.0,2,3,1,0,3,4,0,2 
39.0,1.0,3,3,0,1,3,4,0,2 
35.0,0.0,2,3,1,1,2,4,0,2 
41.0,5.0,3,3,1,1,3,4,0,2 
25.0,1.0,3,3,1,1,3,4,0,2 
37.0,5.0,2,3,0,0,2,4,0,2 
30.0,5.0,3,3,1,0,3,4,0,2 
32.0,4.0,2,3,0,1,2,4,0,2 
25.0,0.0,2,3,1,1,2,4,0,2 
43.0,4.0,3,3,1,1,2,4,0,2 
30.0,2.0,2,3,1,0,2,4,0,2 
20.0,3.0,2,3,1,1,3,4,0,2 
38.0,5.0,3,3,1,1,1,4,0,2 
20.0,1.0,2,3,1,1,3,4,0,2 
25.0,0.0,3,3,1,1,3,4,0,2 
47.0,2.0,3,3,1,1,2,4,0,2 
45.0,4.0,2,3,1,0,2,4,0,2 
20.0,3.0,2,3,1,1,3,4,0,2 
33.0,6.0,3,3,1,1,3,4,0,2 
42.0,7.0,2,3,1,1,3,4,0,2 
33.0,6.0,2,2,1,0,3,4,0,2 
32.0,2.0,3,3,1,0,3,4,0,2 
37.0,7.0,2,3,1,1,3,4,0,2 
45.0,7.0,3,3,1,1,3,4,0,2 
47.0,7.0,2,2,1,1,2,4,0,2 
49.0,11.0,3,3,1,1,1,4,0,2 
41.0,5.0,3,3,1,1,1,4,0,2 
42.0,4.0,3,3,1,1,2,4,0,2 
45.0,6.0,3,3,0,1,2,4,0,2 
35.0,6.0,2,2,1,1,3,4,0,2 
34.0,6.0,3,3,1,1,3,4,0,2 
33.0,5.0,3,3,1,1,3,4,0,2 
29.0,4.0,3,3,1,1,3,4,0,2 
30.0,4.0,2,2,1,1,2,4,0,2 
33.0,8.0,3,3,1,1,3,4,0,2 
30.0,7.0,3,3,1,1,3,4,0,2 
24.0,2.0,2,2,1,1,3,4,0,2 
36.0,5.0,2,2,1,1,3,4,0,2 
29.0,5.0,2,3,1,1,2,4,0,2 
25.0,2.0,2,3,1,1,2,4,0,2 
38.0,3.0,2,3,1,1,2,4,0,2 
33.0,2.0,2,2,1,1,3,4,0,2 
29.0,4.0,3,3,1,1,3,4,0,2 
28.0,3.0,2,3,1,1,3,4,0,2 
38.0,2.0,3,3,0,1,3,4,0,2 
46.0,6.0,2,3,0,0,3,4,0,2 
41.0,7.0,3,3,0,1,2,4,0,2 
28.0,6.0,2,3,1,1,2,4,0,2 
42.0,2.0,2,3,1,1,1,4,0,2 
27.0,4.0,3,3,1,1,2,4,0,2 
31.0,1.0,3,3,1,0,3,4,0,2 
39.0,10.0,2,3,1,1,3,4,0,2 
38.0,6.0,2,2,1,1,3,4,0,2 
26.0,3.0,2,3,1,1,3,4,0,2 
47.0,5.0,3,2,1,1,4,4,0,2 
32.0,2.0,2,2,1,1,2,4,0,2 
31.0,1.0,3,2,1,1,3,4,0,2 
21.0,0.0,2,3,1,1,3,4,0,2 
24.0,4.0,2,2,1,1,3,4,0,2 
33.0,3.0,3,3,1,1,3,4,0,2 
30.0,7.0,2,2,1,1,3,4,0,2 
27.0,2.0,3,3,1,1,3,4,0,2 
26.0,4.0,2,2,1,1,3,4,0,2 
42.0,4.0,3,3,0,1,3,4,0,2 
44.0,1.0,2,3,0,1,2,4,0,2 
34.0,6.0,3,3,1,1,1,4,0,2 
28.0,3.0,2,3,1,1,2,4,0,2 
36.0,6.0,2,3,1,1,2,4,0,2 
46.0,5.0,2,2,1,1,2,4,0,2 
37.0,6.0,2,3,1,1,3,4,0,2 
30.0,5.0,2,3,1,0,3,4,0,2 
26.0,4.0,3,2,1,1,3,4,0,2 
27.0,5.0,3,3,1,1,2,4,0,2 
39.0,8.0,3,3,1,0,1,4,0,2 
28.0,1.0,2,2,1,1,2,4,0,2 
26.0,3.0,3,3,1,0,2,4,0,2 
20.0,1.0,2,3,1,1,2,4,0,2 
29.0,3.0,3,3,1,0,2,4,0,2 
24.0,3.0,2,2,1,1,2,4,0,2 
19.0,1.0,3,3,1,1,2,4,0,2 
23.0,2.0,3,3,1,0,3,4,0,2 
27.0,1.0,3,3,1,0,3,4,0,2 
25.0,1.0,2,3,1,0,4,4,0,2 
27.0,5.0,3,2,1,1,2,4,0,2 
20.0,2.0,3,3,1,1,2,4,0,2 
28.0,5.0,2,2,1,0,2,4,0,2 
28.0,3.0,3,3,1,0,2,4,0,2 
23.0,1.0,3,3,1,0,2,4,0,2 
26.0,1.0,2,3,1,0,4,4,0,2 
26.0,1.0,2,3,1,0,3,4,1,2 
25.0,1.0,3,3,1,0,2,4,0,2 
22.0,2.0,3,3,1,1,2,4,0,2 
23.0,1.0,2,2,1,1,2,4,0,2 
17.0,1.0,3,3,1,1,2,4,0,2 
42.0,3.0,3,3,1,0,2,4,0,2 
35.0,9.0,3,2,1,0,3,4,0,2 
33.0,3.0,2,2,0,0,2,4,0,2 
40.0,4.0,2,2,0,0,2,4,0,2 
21.0,0.0,2,2,0,1,4,4,0,2 
36.0,2.0,3,3,1,0,2,4,0,2 
27.0,1.0,3,3,0,0,2,4,0,2 
29.0,1.0,3,3,0,0,2,4,0,2 
43.0,2.0,3,3,0,0,3,4,0,2 
45.0,3.0,2,3,0,0,2,4,0,2 
19.0,0.0,4,4,1,1,3,3,0,3 
24.0,0.0,4,4,1,0,2,2,0,3 
31.0,2.0,4,4,1,1,3,2,0,3 
32.0,2.0,4,4,1,1,2,3,0,3 
25.0,1.0,4,4,1,0,3,3,0,3 
25.0,1.0,4,4,1,1,1,3,0,3 
34.0,3.0,4,4,0,0,3,3,0,3 
26.0,1.0,4,4,1,1,1,3,0,3 
24.0,2.0,4,4,1,1,3,3,0,3 
33.0,2.0,4,4,1,1,1,3,0,3 
30.0,0.0,4,4,0,0,3,3,0,3 
35.0,2.0,4,4,0,1,3,3,0,3 
32.0,1.0,4,4,1,0,1,3,0,3 
34.0,4.0,4,4,1,1,2,3,0,3 
28.0,0.0,4,4,0,1,1,3,0,3 
32.0,4.0,4,4,1,0,1,3,0,3 
24.0,1.0,4,4,1,1,3,3,0,3 
22.0,2.0,4,4,1,1,1,3,0,3 
34.0,2.0,4,4,1,0,1,3,0,3 
27.0,1.0,4,4,1,1,1,2,0,3 
33.0,5.0,4,4,1,1,3,3,0,3 
36.0,2.0,4,4,1,1,3,3,0,3 
22.0,0.0,4,4,1,1,1,3,0,3 
24.0,1.0,4,4,1,1,2,2,0,3 
29.0,1.0,4,4,1,1,1,3,0,3 
23.0,2.0,4,4,1,0,3,3,0,3 
28.0,1.0,4,4,0,1,1,3,0,3 
25.0,1.0,4,4,0,1,2,3,0,3 
21.0,1.0,4,4,1,1,3,3,0,3 
23.0,1.0,4,4,1,1,2,3,0,3 
33.0,0.0,4,4,1,0,3,3,0,3 
23.0,1.0,4,4,1,1,1,2,0,3 
37.0,2.0,4,4,1,0,3,3,0,3 
36.0,3.0,4,4,0,1,1,3,0,3 
34.0,4.0,4,4,1,1,3,3,0,3 
19.0,1.0,4,4,1,1,2,3,0,3 
24.0,1.0,4,4,1,1,3,2,0,3 
38.0,6.0,4,4,1,0,3,3,0,3 
40.0,4.0,4,4,1,1,1,3,0,3 
29.0,2.0,4,4,1,0,1,3,0,3 
22.0,1.0,4,4,1,1,1,2,0,3 
32.0,3.0,4,4,0,1,3,3,0,3 
38.0,5.0,4,4,1,1,1,3,0,3 
29.0,2.0,4,4,1,0,1,3,0,3 
28.0,2.0,4,4,1,0,1,3,0,3 
26.0,1.0,4,4,1,0,1,3,0,3 
35.0,4.0,4,4,0,1,3,3,0,3 
38.0,6.0,4,4,1,1,3,3,0,3 
25.0,2.0,4,4,0,1,1,3,0,3 
33.0,3.0,4,4,1,1,3,3,0,3 
29.0,3.0,4,4,1,0,3,3,0,3 
28.0,4.0,4,4,1,1,1,3,0,3 
22.0,1.0,4,4,1,1,1,3,0,3 
35.0,3.0,4,4,1,1,2,3,0,3 
24.0,2.0,4,4,1,0,1,3,0,3 
28.0,2.0,4,4,1,1,1,3,0,3 
27.0,2.0,4,4,1,0,1,3,0,3 
40.0,6.0,4,4,1,1,1,3,0,3 
28.0,1.0,4,4,1,1,3,2,0,3 
41.0,1.0,4,4,1,1,3,3,0,3 
19.0,1.0,4,4,1,1,1,3,0,3 
22.0,1.0,4,4,1,1,2,3,0,3 
21.0,1.0,4,4,1,1,2,3,0,3 
25.0,1.0,4,4,0,1,3,3,0,3 
24.0,1.0,4,4,1,1,1,3,0,3 
22.0,1.0,4,4,1,1,3,3,0,3 
32.0,4.0,4,4,1,1,1,3,0,3 
32.0,2.0,4,4,1,0,1,3,0,3 
37.0,4.0,4,4,1,1,3,2,0,3 
34.0,2.0,4,4,1,1,3,3,0,3 
28.0,1.0,4,4,1,1,1,3,0,3 
26.0,1.0,4,4,1,1,3,3,0,3 
38.0,5.0,4,4,1,1,2,3,0,3 
20.0,2.0,4,4,1,1,1,3,0,3 
25.0,2.0,4,4,1,1,1,3,0,3 
23.0,1.0,4,4,1,1,3,3,0,3 
23.0,3.0,4,4,1,1,3,3,0,3 
22.0,3.0,4,4,1,1,3,2,0,3 
33.0,4.0,4,4,1,1,2,3,0,3 
30.0,2.0,4,4,0,0,3,3,0,3 
28.0,4.0,4,4,1,1,2,3,0,3 
26.0,2.0,4,4,1,0,3,3,0,3 
30.0,2.0,4,4,1,1,4,3,0,3 
19.0,1.0,4,4,1,1,3,2,0,3 
25.0,2.0,4,4,1,1,3,2,0,3 
22.0,0.0,4,4,1,1,3,2,0,3 
35.0,1.0,4,4,1,1,1,3,0,3 
23.0,1.0,4,4,1,0,3,3,0,3 
31.0,3.0,4,4,1,0,2,3,0,3 
24.0,1.0,4,4,1,0,1,3,0,3 
28.0,1.0,4,4,1,0,1,3,0,3 
19.0,1.0,4,4,1,1,1,3,0,3 
31.0,2.0,4,4,1,1,1,2,0,3 
28.0,2.0,4,4,1,1,1,3,0,3 
26.0,2.0,4,4,1,1,1,3,0,3 
25.0,3.0,4,4,1,1,1,2,0,3 
31.0,4.0,4,4,1,1,3,3,0,3 
21.0,1.0,4,4,1,1,1,3,0,3 
22.0,1.0,4,4,1,1,1,3,0,3 
32.0,4.0,4,4,1,1,1,2,0,3 
27.0,3.0,4,4,1,1,1,3,0,3 
22.0,1.0,4,4,1,0,2,2,0,3 
27.0,1.0,4,4,1,0,3,3,0,3 
26.0,1.0,4,4,1,0,2,3,0,3 
32.0,4.0,4,4,1,1,2,3,0,3 
23.0,1.0,4,4,1,1,3,3,0,3 
29.0,3.0,4,4,1,1,3,2,0,3 
36.0,3.0,4,4,1,1,3,3,0,3 
40.0,5.0,4,4,1,1,1,3,0,3 
24.0,1.0,4,4,0,1,2,3,0,3 
27.0,2.0,4,4,1,1,1,3,0,3 
34.0,4.0,4,4,1,0,3,3,0,3 
24.0,2.0,4,4,1,0,3,3,0,3 
24.0,2.0,4,4,1,1,3,3,0,3 
36.0,4.0,4,4,1,1,1,3,0,3 
25.0,3.0,4,4,1,1,3,3,0,3 
21.0,2.0,4,4,1,1,2,3,0,3 
26.0,2.0,4,4,1,1,3,3,0,3 
24.0,1.0,4,4,1,1,2,3,0,3 
25.0,2.0,4,4,1,1,1,2,0,3 
25.0,2.0,4,4,1,1,3,3,0,3 
30.0,1.0,4,4,1,0,3,2,0,3 
33.0,5.0,4,4,1,1,3,3,0,3 
26.0,3.0,4,4,1,1,3,2,0,3 
21.0,2.0,4,4,1,1,3,3,0,3 
25.0,2.0,4,4,1,1,2,3,0,3 
24.0,1.0,4,4,1,1,1,3,0,3 
19.0,1.0,4,4,1,1,2,3,0,3 
27.0,4.0,4,4,1,1,3,3,0,3 
34.0,1.0,4,4,0,0,2,3,0,3 
30.0,0.0,4,4,0,0,1,3,0,3 
38.0,4.0,4,4,0,0,1,2,0,3 
44.0,4.0,4,4,1,0,2,3,0,3 
35.0,5.0,4,4,1,0,1,3,0,3 
30.0,2.0,4,4,1,0,2,2,0,3 
27.0,1.0,4,4,0,0,1,3,0,3 
34.0,6.0,4,4,1,1,2,2,0,3 
41.0,3.0,4,4,1,0,2,3,0,3 
34.0,2.0,4,4,0,0,3,2,0,3 
49.0,6.0,4,4,1,1,1,2,0,3 
45.0,1.0,4,4,1,0,3,3,0,3 
45.0,1.0,4,4,1,1,1,3,0,3 
45.0,4.0,4,4,1,1,2,3,0,3 
34.0,3.0,4,4,0,1,1,2,0,3 
42.0,6.0,4,4,1,1,1,3,0,3 
44.0,7.0,4,4,1,1,3,2,0,3 
39.0,2.0,4,4,0,1,1,3,0,3 
47.0,5.0,4,4,1,1,1,3,0,3 
43.0,6.0,4,4,1,1,1,3,0,3 
43.0,5.0,4,4,1,1,1,3,0,3 
42.0,6.0,4,4,1,1,1,3,0,3 
47.0,5.0,4,4,1,1,3,2,0,3 
27.0,4.0,4,4,1,1,1,2,1,3 
47.0,1.0,4,4,1,0,1,3,0,3 
44.0,6.0,4,4,0,1,1,3,0,3 
33.0,2.0,4,4,0,0,1,3,0,3 
33.0,3.0,4,4,0,0,1,3,0,3 
46.0,10.0,4,4,1,1,1,3,0,3 
33.0,2.0,4,4,0,0,1,3,0,3 
44.0,4.0,4,4,0,1,2,3,0,3 
38.0,3.0,4,4,0,0,3,3,1,3 
36.0,6.0,4,4,0,1,1,2,1,3 
45.0,8.0,1,1,1,1,2,2,1,4 
47.0,7.0,1,1,1,1,2,3,1,4 
30.0,5.0,1,1,1,1,2,2,0,4 
48.0,8.0,1,1,1,0,2,2,1,4 
47.0,10.0,1,1,1,1,3,3,0,4 
31.0,3.0,1,1,1,1,4,2,1,4 
30.0,7.0,1,1,1,1,2,3,0,4 
48.0,6.0,1,1,1,1,2,3,1,4 
31.0,6.0,1,1,1,1,3,2,0,4 
47.0,4.0,1,1,1,1,2,2,0,4 
40.0,0.0,1,1,1,1,3,2,0,4 
48.0,1.0,1,1,1,0,3,3,1,4 
36.0,5.0,1,1,1,1,3,3,0,4 
38.0,2.0,1,3,1,0,3,3,1,5 
42.0,9.0,1,3,1,1,3,2,1,5 
41.0,10.0,1,3,1,1,2,3,1,5 
43.0,2.0,1,3,1,0,2,2,1,5 
44.0,0.0,1,3,1,1,2,3,0,5 
45.0,6.0,1,2,1,1,3,3,1,5 
45.0,1.0,1,2,1,0,3,3,0,5 
45.0,1.0,1,3,1,1,2,3,1,5 
48.0,4.0,1,3,1,1,3,3,1,5 
43.0,5.0,1,3,1,0,3,2,0,5 
35.0,0.0,1,3,1,1,2,2,1,5 
44.0,4.0,1,3,1,1,3,3,1,5 
32.0,4.0,1,2,1,1,3,2,1,5 
49.0,0.0,1,3,1,1,3,3,1,5 
46.0,8.0,1,2,1,1,3,3,1,5 
35.0,7.0,1,3,1,0,2,3,1,5 
45.0,3.0,1,3,1,1,3,2,0,5 
29.0,5.0,1,3,1,1,3,3,0,5 
24.0,4.0,1,3,1,1,3,3,0,5 
21.0,1.0,1,3,1,1,3,3,1,5 
32.0,4.0,1,3,1,1,3,3,0,5 
